Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,16956.256
2023-01-02,16688.470703125,16929.297
2023-01-03,16679.857421875,16907.64
2023-01-04,16863.23828125,16893.672
2023-01-05,16836.736328125,16895.324
2023-01-06,16951.96875,16911.63
2023-01-07,16955.078125,16943.523
2023-01-08,17091.14453125,16987.055
2023-01-09,17196.5546875,17042.242
2023-01-10,17446.29296875,17108.996
2023-01-11,17934.896484375,17192.943
2023-01-12,18869.587890625,17310.672
2023-01-13,19909.57421875,17498.19
2023-01-14,20976.298828125,17794.678
2023-01-15,20880.798828125,18229.957
2023-01-16,21169.6328125,18766.24
2023-01-17,21161.51953125,19356.736
2023-01-18,20688.78125,19943.922
2023-01-19,21086.79296875,20456.477
2023-01-20,22676.552734375,20875.133
2023-01-21,22777.625,21264.834
2023-01-22,22720.416015625,21645.41
2023-01-23,22934.431640625,22007.504
2023-01-24,22636.46875,22344.213
2023-01-25,23117.859375,22628.043
2023-01-26,23032.77734375,22867.646
2023-01-27,23078.728515625,23059.973
2023-01-28,23031.08984375,23206.686
2023-01-29,23774.56640625,23308.572
2023-01-30,22840.138671875,23404.902
2023-01-31,23139.283203125,23464.135
2023-02-01,23723.76953125,23492.87
2023-02-02,23471.87109375,23525.213
2023-02-03,23449.322265625,23560.652
2023-02-04,23331.84765625,23595.91
2023-02-05,22955.666015625,23622.375
2023-02-06,22760.109375,23619.531
2023-02-07,23264.291015625,23576.277
2023-02-08,22939.3984375,23521.846
2023-02-09,21819.0390625,23457.566
2023-02-10,21651.18359375,23337.602
2023-02-11,21870.875,23153.342
2023-02-12,21788.203125,22932.82
2023-02-13,21808.1015625,22701.064
2023-02-14,22220.8046875,22482.309
2023-02-15,24307.841796875,22312.588
2023-02-16,23623.474609375,22299.771
2023-02-17,24565.6015625,22425.059
2023-02-18,24641.27734375,22691.654
2023-02-19,24327.642578125,23062.72
2023-02-20,24829.1484375,23469.854
2023-02-21,24436.353515625,23882.408
2023-02-22,24188.84375,24248.486
2023-02-23,23947.4921875,24528.268
2023-02-24,23198.126953125,24699.264
2023-02-25,23175.375,24731.965
2023-02-26,23561.212890625,24641.477
2023-02-27,23522.87109375,24481.645
2023-02-28,23147.353515625,24293.885
2023-03-01,23646.55078125,24091.984
2023-03-02,23475.466796875,23916.98
2023-03-03,22362.6796875,23779.24
2023-03-04,22353.349609375,23629.951
2023-03-05,22435.513671875,23458.578
2023-03-06,22429.7578125,23276.51
2023-03-07,22219.76953125,23098.627
2023-03-08,21718.080078125,22928.844
2023-03-09,20363.021484375,22752.164
2023-03-10,20187.244140625,22510.467
2023-03-11,20632.41015625,22197.332
2023-03-12,22163.94921875,21858.857
2023-03-13,24197.533203125,21603.158
2023-03-14,24746.07421875,21561.635
2023-03-15,24375.9609375,21773.426
2023-03-16,25052.7890625,22177.852
2023-03-17,27423.9296875,22723.77
2023-03-18,26965.87890625,23447.715
2023-03-19,28038.67578125,24272.188
2023-03-20,27767.236328125,25158.748
2023-03-21,28175.81640625,26022.135
2023-03-22,27307.4375,26811.203
2023-03-23,28333.97265625,27438.734
2023-03-24,27493.28515625,27924.938
2023-03-25,27494.70703125,28240.645
2023-03-26,27994.330078125,28396.316
2023-03-27,27139.888671875,28446.457
2023-03-28,27268.130859375,28389.385
2023-03-29,28348.44140625,28257.053
2023-03-30,28033.5625,28136.162
2023-03-31,28478.484375,28047.322
2023-04-01,28411.03515625,28018.566
2023-04-02,28199.30859375,28045.406
2023-04-03,27790.220703125,28102.447
2023-04-04,28168.08984375,28150.166
2023-04-05,28177.984375,28191.291
2023-04-06,28044.140625,28226.162
2023-04-07,27925.859375,28248.332
2023-04-08,27947.794921875,28251.447
2023-04-09,28333.05078125,28238.217
2023-04-10,29652.98046875,28232.81
2023-04-11,30235.05859375,28308.219
2023-04-12,30139.052734375,28500.744
2023-04-13,30399.06640625,28786.246
2023-04-14,30485.69921875,29134.717
2023-04-15,30318.49609375,29507.205
2023-04-16,30315.35546875,29855.725
2023-04-17,29445.044921875,30148.78
2023-04-18,30397.552734375,30326.832
2023-04-19,28822.6796875,30431.516
2023-04-20,28245.98828125,30408.412
2023-04-21,27276.91015625,30238.926
2023-04-22,27817.5,29907.738
2023-04-23,27591.384765625,29487.697
2023-04-24,27525.33984375,29034.49
2023-04-25,28307.59765625,28596.547
2023-04-26,28422.701171875,28249.135
2023-04-27,29473.787109375,28024.508
2023-04-28,29340.26171875,27972.426
2023-04-29,29248.48828125,28071.74
2023-04-30,29268.806640625,28273.55
2023-05-01,28091.568359375,28527.89
2023-05-02,28680.537109375,28732.574
2023-05-03,29006.30859375,28878.342
2023-05-04,28847.7109375,28982.084
2023-05-05,29534.384765625,29046.748
2023-05-06,28904.623046875,29113.592
2023-05-07,28454.978515625,29163.127
2023-05-08,27694.2734375,29167.664
2023-05-09,27658.775390625,29088.021
2023-05-10,27621.755859375,28929.438
2023-05-11,27000.7890625,28716.27
2023-05-12,26804.990234375,28449.793
2023-05-13,26784.078125,28146.121
2023-05-14,26930.638671875,27833.15
2023-05-15,27192.693359375,27546.01
2023-05-16,27036.650390625,27319.582
2023-05-17,27398.802734375,27158.275
2023-05-18,26832.208984375,27075.844
2023-05-19,26890.12890625,27037.426
2023-05-20,27129.5859375,27025.297
2023-05-21,26753.826171875,27038.857
2023-05-22,26851.27734375,27053.584
2023-05-23,27225.7265625,27064.213
2023-05-24,26334.818359375,27087.164
2023-05-25,26476.20703125,27081.97
2023-05-26,26719.291015625,27046.78
2023-05-27,26868.353515625,27000.14
2023-05-28,28085.646484375,26961.205
2023-05-29,27745.884765625,26996.98
2023-05-30,27702.349609375,27099.508
2023-05-31,27219.658203125,27245.406
2023-06-01,26819.97265625,27385.22
2023-06-02,27249.58984375,27474.316
