Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,17431.807
2023-01-02,16688.470703125,17404.652
2023-01-03,16679.857421875,17382.49
2023-01-04,16863.23828125,17367.852
2023-01-05,16836.736328125,17368.752
2023-01-06,16951.96875,17384.332
2023-01-07,16955.078125,17415.527
2023-01-08,17091.14453125,17458.385
2023-01-09,17196.5546875,17512.865
2023-01-10,17446.29296875,17578.83
2023-01-11,17934.896484375,17661.9
2023-01-12,18869.587890625,17778.686
2023-01-13,19909.57421875,17965.38
2023-01-14,20976.298828125,18261.59
2023-01-15,20880.798828125,18697.672
2023-01-16,21169.6328125,19235.76
2023-01-17,21161.51953125,19828.342
2023-01-18,20688.78125,20416.865
2023-01-19,21086.79296875,20928.854
2023-01-20,22676.552734375,21344.75
2023-01-21,22777.625,21730.783
2023-01-22,22720.416015625,22107.916
2023-01-23,22934.431640625,22467.38
2023-01-24,22636.46875,22802.568
2023-01-25,23117.859375,23085.727
2023-01-26,23032.77734375,23325.738
2023-01-27,23078.728515625,23519.564
2023-01-28,23031.08984375,23668.924
2023-01-29,23774.56640625,23774.58
2023-01-30,22840.138671875,23876.414
2023-01-31,23139.283203125,23942.188
2023-02-01,23723.76953125,23978.33
2023-02-02,23471.87109375,24019.297
2023-02-03,23449.322265625,24064.312
2023-02-04,23331.84765625,24109.719
2023-02-05,22955.666015625,24146.383
2023-02-06,22760.109375,24153.096
2023-02-07,23264.291015625,24118.33
2023-02-08,22939.3984375,24071.76
2023-02-09,21819.0390625,24014.777
2023-02-10,21651.18359375,23900.834
2023-02-11,21870.875,23721.215
2023-02-12,21788.203125,23504.504
2023-02-13,21808.1015625,23276.37
2023-02-14,22220.8046875,23061.592
2023-02-15,24307.841796875,22896.75
2023-02-16,23623.474609375,22891.344
2023-02-17,24565.6015625,23026.152
2023-02-18,24641.27734375,23303.92
2023-02-19,24327.642578125,23686.387
2023-02-20,24829.1484375,24102.988
2023-02-21,24436.353515625,24521.99
2023-02-22,24188.84375,24890.309
2023-02-23,23947.4921875,25167.709
2023-02-24,23198.126953125,25332.094
2023-02-25,23175.375,25354.533
2023-02-26,23561.212890625,25251.818
2023-02-27,23522.87109375,25080.137
2023-02-28,23147.353515625,24882.693
2023-03-01,23646.55078125,24674.094
2023-03-02,23475.466796875,24496.184
2023-03-03,22362.6796875,24359.215
2023-03-04,22353.349609375,24212.88
2023-03-05,22435.513671875,24045.66
2023-03-06,22429.7578125,23868.445
2023-03-07,22219.76953125,23695.877
2023-03-08,21718.080078125,23531.572
2023-03-09,20363.021484375,23359.982
2023-03-10,20187.244140625,23121.977
2023-03-11,20632.41015625,22810.896
2023-03-12,22163.94921875,22473.457
2023-03-13,24197.533203125,22219.324
2023-03-14,24746.07421875,22182.203
2023-03-15,24375.9609375,22402.328
2023-03-16,25052.7890625,22817.613
2023-03-17,27423.9296875,23375.03
2023-03-18,26965.87890625,24111.445
2023-03-19,28038.67578125,24946.906
2023-03-20,27767.236328125,25841.914
2023-03-21,28175.81640625,26708.807
2023-03-22,27307.4375,27495.662
2023-03-23,28333.97265625,28113.652
2023-03-24,27493.28515625,28585.674
2023-03-25,27494.70703125,28883.447
2023-03-26,27994.330078125,29019.773
2023-03-27,27139.888671875,29052.479
2023-03-28,27268.130859375,28980.75
2023-03-29,28348.44140625,28838.04
2023-03-30,28033.5625,28713.623
2023-03-31,28478.484375,28627.96
2023-04-01,28411.03515625,28608.809
2023-04-02,28199.30859375,28650.035
2023-04-03,27790.220703125,28723.879
2023-04-04,28168.08984375,28788.2
2023-04-05,28177.984375,28844.928
2023-04-06,28044.140625,28893.854
2023-04-07,27925.859375,28928.027
2023-04-08,27947.794921875,28940.861
2023-04-09,28333.05078125,28935.281
2023-04-10,29652.98046875,28936.506
2023-04-11,30235.05859375,29020.217
2023-04-12,30139.052734375,29223.88
2023-04-13,30399.06640625,29522.045
2023-04-14,30485.69921875,29883.143
2023-04-15,30318.49609375,30266.414
2023-04-16,30315.35546875,30621.992
2023-04-17,29445.044921875,30917.629
2023-04-18,30397.552734375,31092.285
2023-04-19,28822.6796875,31190.674
2023-04-20,28245.98828125,31157.328
2023-04-21,27276.91015625,30974.486
2023-04-22,27817.5,30627.781
2023-04-23,27591.384765625,30193.82
2023-04-24,27525.33984375,29730.625
2023-04-25,28307.59765625,29288.07
2023-04-26,28422.701171875,28943.068
2023-04-27,29473.787109375,28727.578
2023-04-28,29340.26171875,28691.447
2023-04-29,29248.48828125,28810.926
2023-04-30,29268.806640625,29033.658
2023-05-01,28091.568359375,29306.55
2023-05-02,28680.537109375,29522.986
2023-05-03,29006.30859375,29673.797
2023-05-04,28847.7109375,29777.361
2023-05-05,29534.384765625,29837.854
2023-05-06,28904.623046875,29899.203
2023-05-07,28454.978515625,29942.035
2023-05-08,27694.2734375,29938.443
2023-05-09,27658.775390625,29848.654
2023-05-10,27621.755859375,29678.947
2023-05-11,27000.7890625,29455.186
