Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,17293.9
2023-01-02,16688.470703125,17266.525
2023-01-03,16679.857421875,17244.404
2023-01-04,16863.23828125,17229.54
2023-01-05,16836.736328125,17229.361
2023-01-06,16951.96875,17243.068
2023-01-07,16955.078125,17271.781
2023-01-08,17091.14453125,17312.092
2023-01-09,17196.5546875,17364.326
2023-01-10,17446.29296875,17428.633
2023-01-11,17934.896484375,17510.527
2023-01-12,18869.587890625,17625.86
2023-01-13,19909.57421875,17809.002
2023-01-14,20976.298828125,18097.693
2023-01-15,20880.798828125,18521.395
2023-01-16,21169.6328125,19046.148
2023-01-17,21161.51953125,19629.69
2023-01-18,20688.78125,20219.094
2023-01-19,21086.79296875,20747.105
2023-01-20,22676.552734375,21194.154
2023-01-21,22777.625,21619.299
2023-01-22,22720.416015625,22038.416
2023-01-23,22934.431640625,22440.008
2023-01-24,22636.46875,22815.688
2023-01-25,23117.859375,23138.236
2023-01-26,23032.77734375,23415.062
2023-01-27,23078.728515625,23642.732
2023-01-28,23031.08984375,23822.354
2023-01-29,23774.56640625,23954.357
2023-01-30,22840.138671875,24075.867
2023-01-31,23139.283203125,24157.176
2023-02-01,23723.76953125,24204.729
2023-02-02,23471.87109375,24251.365
2023-02-03,23449.322265625,24297.227
2023-02-04,23331.84765625,24339.863
2023-02-05,22955.666015625,24371.88
2023-02-06,22760.109375,24374.475
2023-02-07,23264.291015625,24337.436
2023-02-08,22939.3984375,24288.457
2023-02-09,21819.0390625,24228.705
2023-02-10,21651.18359375,24114.502
2023-02-11,21870.875,23937.164
2023-02-12,21788.203125,23722.672
2023-02-13,21808.1015625,23494.184
2023-02-14,22220.8046875,23274.291
2023-02-15,24307.841796875,23097.29
2023-02-16,23623.474609375,23066.357
2023-02-17,24565.6015625,23165.848
2023-02-18,24641.27734375,23401.516
2023-02-19,24327.642578125,23741.816
2023-02-20,24829.1484375,24124.84
2023-02-21,24436.353515625,24523.266
2023-02-22,24188.84375,24888.205
2023-02-23,23947.4921875,25180.486
2023-02-24,23198.126953125,25376.016
2023-02-25,23175.375,25443.168
2023-02-26,23561.212890625,25392.148
2023-02-27,23522.87109375,25270.314
2023-02-28,23147.353515625,25114.213
2023-03-01,23646.55078125,24935.412
2023-03-02,23475.466796875,24772.635
2023-03-03,22362.6796875,24636.89
2023-03-04,22353.349609375,24483.79
2023-03-05,22435.513671875,24305.236
2023-03-06,22429.7578125,24113.748
2023-03-07,22219.76953125,23924.652
2023-03-08,21718.080078125,23742.469
2023-03-09,20363.021484375,23553.543
2023-03-10,20187.244140625,23303.123
2023-03-11,20632.41015625,22984.717
2023-03-12,22163.94921875,22641.193
2023-03-13,24197.533203125,22374.17
2023-03-14,24746.07421875,22308.326
2023-03-15,24375.9609375,22482.61
2023-03-16,25052.7890625,22843.07
2023-03-17,27423.9296875,23345.785
2023-03-18,26965.87890625,24029.912
2023-03-19,28038.67578125,24825.65
2023-03-20,27767.236328125,25698.375
2023-03-21,28175.81640625,26567.463
2023-03-22,27307.4375,27382.412
2023-03-23,28333.97265625,28056.66
2023-03-24,27493.28515625,28603.918
2023-03-25,27494.70703125,28990.73
2023-03-26,27994.330078125,29221.05
2023-03-27,27139.888671875,29341.785
2023-03-28,27268.130859375,29348.012
2023-03-29,28348.44140625,29267.988
2023-03-30,28033.5625,29183.797
2023-03-31,28478.484375,29116.422
2023-04-01,28411.03515625,29094.748
2023-04-02,28199.30859375,29117.86
2023-04-03,27790.220703125,29165.176
2023-04-04,28168.08984375,29202.355
2023-04-05,28177.984375,29234.191
2023-04-06,28044.140625,29262.408
2023-04-07,27925.859375,29281.277
2023-04-08,27947.794921875,29284.477
2023-04-09,28333.05078125,29273.873
2023-04-10,29652.98046875,29271.615
2023-04-11,30235.05859375,29346.479
2023-04-12,30139.052734375,29533.324
2023-04-13,30399.06640625,29810.234
2023-04-14,30485.69921875,30150.105
2023-04-15,30318.49609375,30517.502
2023-04-16,30315.35546875,30867.787
2023-04-17,29445.044921875,31170.887
2023-04-18,30397.552734375,31369.066
2023-04-19,28822.6796875,31499.342
2023-04-20,28245.98828125,31507.719
2023-04-21,27276.91015625,31373.166
2023-04-22,27817.5,31078.225
2023-04-23,27591.384765625,30689.31
2023-04-24,27525.33984375,30257.865
2023-04-25,28307.59765625,29829.32
2023-04-26,28422.701171875,29475.926
2023-04-27,29473.787109375,29230.799
2023-04-28,29340.26171875,29144.629
2023-04-29,29248.48828125,29201.938
2023-04-30,29268.806640625,29360.79
2023-05-01,28091.568359375,29577.572
2023-05-02,28680.537109375,29757.79
2023-05-03,29006.30859375,29892.586
2023-05-04,28847.7109375,29996.629
2023-05-05,29534.384765625,30070.19
2023-05-06,28904.623046875,30149.383
2023-05-07,28454.978515625,30213.402
2023-05-08,27694.2734375,30233.844
2023-05-09,27658.775390625,30171.996
2023-05-10,27621.755859375,30031.393
2023-05-11,27000.7890625,29834.096
2023-05-12,26804.990234375,29580.492
2023-05-13,26784.078125,29285.191
2023-05-14,26930.638671875,28974.572
2023-05-15,27192.693359375,28682.428
2023-05-16,27036.650390625,28442.96
2023-05-17,27398.802734375,28262.072
2023-05-18,26832.208984375,28154.812
2023-05-19,26890.12890625,28090.463
2023-05-20,27129.5859375,28054.014
2023-05-21,26753.826171875,28046.258
2023-05-22,26851.27734375,28044.684
2023-05-23,27225.7265625,28044.152
2023-05-24,26334.818359375,28059.654
2023-05-25,26476.20703125,28052.102
2023-05-26,26719.291015625,28018.379
2023-05-27,26868.353515625,27974.953
2023-05-28,28085.646484375,27938.988
2023-05-29,27745.884765625,27973.424
2023-05-30,27702.349609375,28071.074
2023-05-31,27219.658203125,28210.371
2023-06-01,26819.97265625,28345.4
2023-06-02,27249.58984375,28434.445
2023-06-03,27075.12890625,28486.508
2023-06-04,27119.06640625,28501.988
2023-06-05,25760.09765625,28490.312
2023-06-06,27238.783203125,28398.629
2023-06-07,26345.998046875,28295.656
2023-06-08,26508.216796875,28172.805
2023-06-09,26480.375,28044.676
2023-06-10,25851.240234375,27922.031
2023-06-11,25940.16796875,27784.57
2023-06-12,25902.5,27637.697
2023-06-13,25918.728515625,27489.863
2023-06-14,25124.67578125,27351.838
2023-06-15,25576.39453125,27195.889
2023-06-16,26327.462890625,27042.412
2023-06-17,26510.67578125,26939.184
2023-06-18,26336.212890625,26907.658
2023-06-19,26851.029296875,26935.506
2023-06-20,28327.48828125,27028.215
2023-06-21,30027.296875,27238.277
2023-06-22,29912.28125,27632.43
2023-06-23,30695.46875,28177.521
2023-06-24,30548.6953125,28843.123
2023-06-25,30480.26171875,29554.705
2023-06-26,30271.130859375,30237.453
2023-06-27,30688.1640625,30826.137
2023-06-28,30086.24609375,31307.938
2023-06-29,30445.3515625,31648.332
2023-06-30,30477.251953125,31866.078
2023-07-01,30590.078125,31985.064
2023-07-02,30620.76953125,32035.213
2023-07-03,31156.439453125,32041.38
2023-07-04,30777.58203125,32047.645
2023-07-05,30514.166015625,32051.629
2023-07-06,29909.337890625,32040.268
2023-07-07,30342.265625,31983.008
2023-07-08,30292.541015625,31901.365
2023-07-09,30171.234375,31809.457
2023-07-10,30414.470703125,31713.633
2023-07-11,30620.951171875,31633.46
2023-07-12,30391.646484375,31586.678
2023-07-13,31476.048828125,31564.43
2023-07-14,30334.068359375,31611.557
2023-07-15,30295.806640625,31673.129
2023-07-16,30249.1328125,31721.617
2023-07-17,30145.888671875,31744.254
2023-07-18,29856.5625,31735.602
2023-07-19,29913.923828125,31686.93
2023-07-20,29792.015625,31608.627
2023-07-21,29908.744140625,31508.666
2023-07-22,29771.802734375,31405.018
2023-07-23,30084.5390625,31303.545
2023-07-24,29176.916015625,31225.738
2023-07-25,29227.390625,31135.105
2023-07-26,29354.97265625,31027.53
2023-07-27,29210.689453125,30915.451
2023-07-28,29319.24609375,30802.832
2023-07-29,29356.91796875,30701.826
2023-07-30,29275.30859375,30621.047
2023-07-31,29230.111328125,30559.514
2023-08-01,29675.732421875,30513.602
2023-08-02,29151.958984375,30501.814
2023-08-03,29178.6796875,30499.719
2023-08-04,29074.091796875,30497.72
2023-08-05,29042.126953125,30487.0
2023-08-06,29041.85546875,30465.004
2023-08-07,29180.578125,30434.121
2023-08-08,29765.4921875,30405.11
2023-08-09,29561.494140625,30410.672
2023-08-10,29429.591796875,30446.166
2023-08-11,29397.71484375,30496.068
2023-08-12,29415.96484375,30547.486
2023-08-13,29282.9140625,30593.463
2023-08-14,29408.443359375,30623.945
2023-08-15,29170.34765625,30642.918
2023-08-16,28701.779296875,30642.057
2023-08-17,26664.55078125,30600.379
2023-08-18,26049.556640625,30424.684
2023-08-19,26096.205078125,30088.088
2023-08-20,26189.583984375,29631.1
2023-08-21,26124.140625,29118.924
2023-08-22,26031.65625,28608.082
2023-08-23,26431.640625,28138.729
2023-08-24,26162.373046875,27756.662
2023-08-25,26047.66796875,27466.184
2023-08-26,26008.462890625,27257.9
2023-08-27,26089.693359375,27118.521
2023-08-28,26106.150390625,27038.463
2023-08-29,27727.392578125,27006.154
2023-08-30,27297.265625,27082.832
2023-08-31,25931.47265625,27247.467
2023-09-01,25800.724609375,27404.727
2023-09-02,25868.798828125,27505.996
2023-09-03,25969.56640625,27541.84
2023-09-04,25812.416015625,27525.057
2023-09-05,25779.982421875,27465.266
2023-09-06,25753.236328125,27376.488
2023-09-07,26240.1953125,27272.826
2023-09-08,25905.654296875,27189.455
2023-09-09,25895.677734375,27124.164
2023-09-10,25832.2265625,27074.932
2023-09-11,25162.654296875,27036.654
2023-09-12,25833.34375,26976.18
2023-09-13,26228.32421875,26918.19
2023-09-14,26539.673828125,26891.855
2023-09-15,26608.693359375,26917.744
2023-09-16,26568.28125,26995.521
2023-09-17,26534.1875,27109.324
2023-09-18,26754.28125,27238.945
2023-09-19,27211.1171875,27377.506
2023-09-20,27132.0078125,27535.291
2023-09-21,26567.6328125,27701.791
2023-09-22,26579.568359375,27837.914
2023-09-23,26579.390625,27929.297
2023-09-24,26256.826171875,27975.225
2023-09-25,26298.48046875,27967.926
2023-09-26,26217.25,27917.787
2023-09-27,26352.716796875,27836.066
2023-09-28,27021.546875,27743.516
2023-09-29,26911.720703125,27685.068
2023-09-30,26967.916015625,27668.676
2023-10-01,27983.75,27692.408
2023-10-02,27530.78515625,27792.9
2023-10-03,27429.978515625,27943.078
2023-10-04,27799.39453125,28111.27
2023-10-05,27415.912109375,28290.822
2023-10-06,27946.59765625,28450.697
2023-10-07,27968.83984375,28600.734
2023-10-08,27935.08984375,28740.86
2023-10-09,27583.677734375,28865.521
2023-10-10,27391.01953125,28953.85
2023-10-11,26873.3203125,28992.44
2023-10-12,26756.798828125,28960.512
2023-10-13,26862.375,28860.844
2023-10-14,26861.70703125,28717.75
2023-10-15,27159.65234375,28555.914
2023-10-16,28519.466796875,28409.803
2023-10-17,28415.748046875,28358.695
2023-10-18,28328.341796875,28411.332
2023-10-19,28719.806640625,28544.05
2023-10-20,29682.94921875,28743.355
2023-10-21,29918.412109375,29026.197
2023-10-22,29993.896484375,29380.207
2023-10-23,33086.234375,29773.756
2023-10-24,33901.52734375,30316.938
2023-10-25,34502.8203125,31035.95
2023-10-26,34156.6484375,31902.201
2023-10-27,33909.80078125,32815.4
2023-10-28,34089.57421875,33670.21
2023-10-29,34538.48046875,34405.43
2023-10-30,34502.36328125,35009.254
2023-10-31,34667.78125,35473.383
2023-11-01,35437.25390625,35810.438
2023-11-02,34938.2421875,36074.555
2023-11-03,34732.32421875,36262.348
2023-11-04,35082.1953125,36369.86
2023-11-05,35049.35546875,36424.777
2023-11-06,35037.37109375,36443.4
2023-11-07,35443.5625,36437.99
2023-11-08,35655.27734375,36438.84
2023-11-09,36693.125,36466.02
2023-11-10,37313.96875,36572.59
2023-11-11,37138.05078125,36787.023
2023-11-12,37054.51953125,37077.324
2023-11-13,36502.35546875,37396.867
2023-11-14,35537.640625,37677.19
2023-11-15,37880.58203125,37837.973
2023-11-16,36154.76953125,37988.336
2023-11-17,36596.68359375,38071.74
2023-11-18,36585.703125,38103.84
2023-11-19,37386.546875,38098.137
2023-11-20,37476.95703125,38109.312
2023-11-21,35813.8125,38157.207
2023-11-22,37432.33984375,38153.766
2023-11-23,37289.62109375,38162.465
2023-11-24,37720.28125,38193.43
2023-11-25,37796.79296875,38267.22
2023-11-26,37479.12109375,38382.02
2023-11-27,37254.16796875,38506.156
2023-11-28,37831.0859375,38608.227
2023-11-29,37858.4921875,38705.938
2023-11-30,37712.74609375,38802.387
2023-12-01,38688.75,38886.867
2023-12-02,39476.33203125,39004.582
2023-12-03,39978.390625,39198.883
2023-12-04,41980.09765625,39485.305
2023-12-05,44080.6484375,39940.637
2023-12-06,43746.4453125,40644.01
2023-12-07,43292.6640625,41514.82
2023-12-08,44166.6015625,42415.953
2023-12-09,43725.984375,43288.734
2023-12-10,43779.69921875,44042.78
2023-12-11,41243.83203125,44633.574
2023-12-12,41450.22265625,44907.805
2023-12-13,42890.7421875,44883.312
2023-12-14,43023.97265625,44711.6
2023-12-15,41929.7578125,44493.457
2023-12-16,42240.1171875,44228.54
2023-12-17,41364.6640625,43960.082
2023-12-18,42623.5390625,43669.926
2023-12-19,42270.52734375,43440.746
2023-12-20,43652.25,43279.46
2023-12-21,43869.15234375,43258.156
2023-12-22,43997.90234375,43383.25
2023-12-23,43739.54296875,43625.996
2023-12-24,43016.1171875,43922.883
2023-12-25,43613.140625,44183.54
2023-12-26,42520.40234375,44402.89
2023-12-27,43442.85546875,44515.242
2023-12-28,42627.85546875,44567.71
2023-12-29,42099.40234375,44541.34
2023-12-30,42156.90234375,44421.895
2023-12-31,42265.1875,44235.27
