Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,16639.383
2023-01-02,16688.470703125,16612.104
2023-01-03,16679.857421875,16590.154
2023-01-04,16863.23828125,16575.71
2023-01-05,16836.736328125,16576.94
2023-01-06,16951.96875,16592.623
2023-01-07,16955.078125,16623.797
2023-01-08,17091.14453125,16666.428
2023-01-09,17196.5546875,16720.795
2023-01-10,17446.29296875,16786.982
2023-01-11,17934.896484375,16870.977
2023-01-12,18869.587890625,16990.062
2023-01-13,19909.57421875,17181.582
2023-01-14,20976.298828125,17485.604
2023-01-15,20880.798828125,17932.213
2023-01-16,21169.6328125,18480.234
2023-01-17,21161.51953125,19081.396
2023-01-18,20688.78125,19677.102
2023-01-19,21086.79296875,20194.416
2023-01-20,22676.552734375,20616.236
2023-01-21,22777.625,21013.422
2023-01-22,22720.416015625,21404.676
2023-01-23,22934.431640625,21777.777
2023-01-24,22636.46875,22124.848
2023-01-25,23117.859375,22416.758
2023-01-26,23032.77734375,22664.201
2023-01-27,23078.728515625,22864.307
2023-01-28,23031.08984375,23019.12
2023-01-29,23774.56640625,23129.48
2023-01-30,22840.138671875,23237.43
2023-01-31,23139.283203125,23307.496
2023-02-01,23723.76953125,23347.156
2023-02-02,23471.87109375,23392.953
2023-02-03,23449.322265625,23442.857
2023-02-04,23331.84765625,23492.596
2023-02-05,22955.666015625,23532.703
2023-02-06,22760.109375,23541.338
2023-02-07,23264.291015625,23507.354
2023-02-08,22939.3984375,23462.71
2023-02-09,21819.0390625,23407.785
2023-02-10,21651.18359375,23292.842
2023-02-11,21870.875,23110.182
2023-02-12,21788.203125,22890.836
2023-02-13,21808.1015625,22660.86
2023-02-14,22220.8046875,22444.795
2023-02-15,24307.841796875,22279.705
2023-02-16,23623.474609375,22279.258
2023-02-17,24565.6015625,22418.943
2023-02-18,24641.27734375,22701.58
2023-02-19,24327.642578125,23087.932
2023-02-20,24829.1484375,23506.248
2023-02-21,24436.353515625,23927.037
2023-02-22,24188.84375,24296.707
2023-02-23,23947.4921875,24574.844
2023-02-24,23198.126953125,24739.404
2023-02-25,23175.375,24760.14
2023-02-26,23561.212890625,24655.059
2023-02-27,23522.87109375,24482.293
2023-02-28,23147.353515625,24284.47
2023-03-01,23646.55078125,24074.268
2023-03-02,23475.466796875,23894.738
2023-03-03,22362.6796875,23755.521
2023-03-04,22353.349609375,23603.568
2023-03-05,22435.513671875,23429.36
2023-03-06,22429.7578125,23246.262
2023-03-07,22219.76953125,23069.895
2023-03-08,21718.080078125,22903.29
2023-03-09,20363.021484375,22729.38
2023-03-10,20187.244140625,22486.05
2023-03-11,20632.41015625,22168.482
2023-03-12,22163.94921875,21826.684
2023-03-13,24197.533203125,21574.102
2023-03-14,24746.07421875,21546.166
2023-03-15,24375.9609375,21778.402
2023-03-16,25052.7890625,22202.557
2023-03-17,27423.9296875,22765.96
2023-03-18,26965.87890625,23512.436
2023-03-19,28038.67578125,24358.75
2023-03-20,27767.236328125,25266.537
2023-03-21,28175.81640625,26145.533
2023-03-22,27307.4375,26943.955
2023-03-23,28333.97265625,27569.645
2023-03-24,27493.28515625,28049.23
2023-03-25,27494.70703125,28351.633
2023-03-26,27994.330078125,28489.822
2023-03-27,27139.888671875,28523.887
2023-03-28,27268.130859375,28450.479
2023-03-29,28348.44140625,28304.334
2023-03-30,28033.5625,28179.09
2023-03-31,28478.484375,28093.605
2023-04-01,28411.03515625,28076.094
2023-04-02,28199.30859375,28119.676
2023-04-03,27790.220703125,28195.852
2023-04-04,28168.08984375,28261.896
2023-04-05,28177.984375,28322.018
2023-04-06,28044.140625,28376.35
2023-04-07,27925.859375,28416.96
2023-04-08,27947.794921875,28436.23
2023-04-09,28333.05078125,28436.77
2023-04-10,29652.98046875,28444.553
2023-04-11,30235.05859375,28538.174
2023-04-12,30139.052734375,28754.02
2023-04-13,30399.06640625,29062.947
2023-04-14,30485.69921875,29432.387
2023-04-15,30318.49609375,29821.488
2023-04-16,30315.35546875,30180.18
2023-04-17,29445.044921875,30477.055
2023-04-18,30397.552734375,30649.244
2023-04-19,28822.6796875,30746.201
2023-04-20,28245.98828125,30707.95
2023-04-21,27276.91015625,30516.465
2023-04-22,27817.5,30157.496
2023-04-23,27591.384765625,29712.76
2023-04-24,27525.33984375,29241.11
2023-04-25,28307.59765625,28792.129
2023-04-26,28422.701171875,28444.445
2023-04-27,29473.787109375,28228.83
2023-04-28,29340.26171875,28196.438
2023-04-29,29248.48828125,28320.955
2023-04-30,29268.806640625,28548.318
2023-05-01,28091.568359375,28825.43
2023-05-02,28680.537109375,29042.654
2023-05-03,29006.30859375,29194.545
2023-05-04,28847.7109375,29301.47
2023-05-05,29534.384765625,29366.143
2023-05-06,28904.623046875,29433.152
2023-05-07,28454.978515625,29479.344
2023-05-08,27694.2734375,29474.86
2023-05-09,27658.775390625,29379.0
2023-05-10,27621.755859375,29200.777
2023-05-11,27000.7890625,28968.467
2023-05-12,26804.990234375,28683.361
2023-05-13,26784.078125,28363.014
2023-05-14,26930.638671875,28037.201
2023-05-15,27192.693359375,27742.68
2023-05-16,27036.650390625,27515.229
2023-05-17,27398.802734375,27357.182
2023-05-18,26832.208984375,27282.145
2023-05-19,26890.12890625,27251.035
2023-05-20,27129.5859375,27245.285
2023-05-21,26753.826171875,27265.1
2023-05-22,26851.27734375,27283.857
2023-05-23,27225.7265625,27296.545
2023-05-24,26334.818359375,27321.342
2023-05-25,26476.20703125,27313.592
2023-05-26,26719.291015625,27272.652
2023-05-27,26868.353515625,27219.58
2023-05-28,28085.646484375,27174.934
2023-05-29,27745.884765625,27210.861
2023-05-30,27702.349609375,27315.88
2023-05-31,27219.658203125,27463.902
2023-06-01,26819.97265625,27602.154
2023-06-02,27249.58984375,27684.805
2023-06-03,27075.12890625,27725.377
2023-06-04,27119.06640625,27725.738
2023-06-05,25760.09765625,27697.945
2023-06-06,27238.783203125,27582.19
2023-06-07,26345.998046875,27460.963
2023-06-08,26508.216796875,27322.938
