Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,16962.887
2023-01-02,16688.470703125,16935.092
2023-01-03,16679.857421875,16911.701
2023-01-04,16863.23828125,16896.05
2023-01-05,16836.736328125,16897.285
2023-01-06,16951.96875,16914.773
2023-01-07,16955.078125,16949.54
2023-01-08,17091.14453125,16997.105
2023-01-09,17196.5546875,17057.111
2023-01-10,17446.29296875,17129.139
2023-01-11,17934.896484375,17219.08
2023-01-12,18869.587890625,17345.025
2023-01-13,19909.57421875,17546.746
2023-01-14,20976.298828125,17868.11
2023-01-15,20880.798828125,18342.684
2023-01-16,21169.6328125,18928.04
2023-01-17,21161.51953125,19569.13
2023-01-18,20688.78125,20198.104
2023-01-19,21086.79296875,20732.248
2023-01-20,22676.552734375,21148.725
2023-01-21,22777.625,21522.064
2023-01-22,22720.416015625,21879.41
2023-01-23,22934.431640625,22214.834
2023-01-24,22636.46875,22523.744
2023-01-25,23117.859375,22777.422
2023-01-26,23032.77734375,22986.812
2023-01-27,23078.728515625,23149.85
2023-01-28,23031.08984375,23269.34
2023-01-29,23774.56640625,23346.807
2023-01-30,22840.138671875,23426.682
2023-01-31,23139.283203125,23473.914
2023-02-01,23723.76953125,23494.748
2023-02-02,23471.87109375,23526.594
2023-02-03,23449.322265625,23568.312
2023-02-04,23331.84765625,23614.855
2023-02-05,22955.666015625,23654.834
2023-02-06,22760.109375,23663.465
2023-02-07,23264.291015625,23626.793
2023-02-08,22939.3984375,23576.992
2023-02-09,21819.0390625,23516.092
2023-02-10,21651.18359375,23393.045
2023-02-11,21870.875,23197.902
2023-02-12,21788.203125,22962.611
2023-02-13,21808.1015625,22716.793
2023-02-14,22220.8046875,22489.016
2023-02-15,24307.841796875,22320.363
2023-02-16,23623.474609375,22331.95
2023-02-17,24565.6015625,22503.137
2023-02-18,24641.27734375,22834.28
2023-02-19,24327.642578125,23279.164
2023-02-20,24829.1484375,23754.678
2023-02-21,24436.353515625,24220.998
2023-02-22,24188.84375,24616.773
2023-02-23,23947.4921875,24896.959
2023-02-24,23198.126953125,25039.06
2023-02-25,23175.375,25015.184
2023-02-26,23561.212890625,24849.139
2023-02-27,23522.87109375,24609.072
2023-02-28,23147.353515625,24348.588
2023-03-01,23646.55078125,24088.01
2023-03-02,23475.466796875,23875.266
2023-03-03,22362.6796875,23721.934
2023-03-04,22353.349609375,23570.77
2023-03-05,22435.513671875,23405.348
2023-03-06,22429.7578125,23234.422
2023-03-07,22219.76953125,23071.854
2023-03-08,21718.080078125,22920.04
2023-03-09,20363.021484375,22760.518
2023-03-10,20187.244140625,22526.926
2023-03-11,20632.41015625,22210.564
2023-03-12,22163.94921875,21862.94
2023-03-13,24197.533203125,21606.35
2023-03-14,24746.07421875,21591.088
2023-03-15,24375.9609375,21864.268
2023-03-16,25052.7890625,22355.912
2023-03-17,27423.9296875,23001.658
2023-03-18,26965.87890625,23836.28
2023-03-19,28038.67578125,24765.68
2023-03-20,27767.236328125,25740.525
2023-03-21,28175.81640625,26659.562
2023-03-22,27307.4375,27463.832
2023-03-23,28333.97265625,28056.602
2023-03-24,27493.28515625,28469.248
2023-03-25,27494.70703125,28679.15
2023-03-26,27994.330078125,28709.928
2023-03-27,27139.888671875,28635.059
2023-03-28,27268.130859375,28461.408
2023-03-29,28348.44140625,28230.766
2023-03-30,28033.5625,28044.738
2023-03-31,28478.484375,27926.703
2023-04-01,28411.03515625,27904.809
2023-04-02,28199.30859375,27967.578
2023-04-03,27790.220703125,28077.795
2023-04-04,28168.08984375,28181.791
2023-04-05,28177.984375,28275.994
2023-04-06,28044.140625,28356.768
2023-04-07,27925.859375,28414.678
2023-04-08,27947.794921875,28441.926
2023-04-09,28333.05078125,28442.35
2023-04-10,29652.98046875,28445.418
2023-04-11,30235.05859375,28537.5
2023-04-12,30139.052734375,28762.44
2023-04-13,30399.06640625,29091.773
2023-04-14,30485.69921875,29487.91
2023-04-15,30318.49609375,29902.229
2023-04-16,30315.35546875,30276.334
2023-04-17,29445.044921875,30573.0
2023-04-18,30397.552734375,30724.81
2023-04-19,28822.6796875,30784.768
2023-04-20,28245.98828125,30695.9
2023-04-21,27276.91015625,30443.041
2023-04-22,27817.5,30015.303
2023-04-23,27591.384765625,29502.785
2023-04-24,27525.33984375,28974.762
2023-04-25,28307.59765625,28489.256
2023-04-26,28422.701171875,28131.799
2023-04-27,29473.787109375,27936.111
2023-04-28,29340.26171875,27953.22
2023-04-29,29248.48828125,28150.65
2023-04-30,29268.806640625,28461.76
2023-05-01,28091.568359375,28818.893
2023-05-02,28680.537109375,29096.178
2023-05-03,29006.30859375,29279.717
2023-05-04,28847.7109375,29391.28
2023-05-05,29534.384765625,29439.777
2023-05-06,28904.623046875,29479.598
2023-05-07,28454.978515625,29494.512
2023-05-08,27694.2734375,29457.115
2023-05-09,27658.775390625,29325.777
2023-05-10,27621.755859375,29109.742
2023-05-11,27000.7890625,28840.404
2023-05-12,26804.990234375,28522.111
2023-05-13,26784.078125,28174.916
2023-05-14,26930.638671875,27831.295
2023-05-15,27192.693359375,27530.904
2023-05-16,27036.650390625,27312.008
2023-05-17,27398.802734375,27176.746
2023-05-18,26832.208984375,27136.61
2023-05-19,26890.12890625,27146.947
2023-05-20,27129.5859375,27182.434
2023-05-21,26753.826171875,27238.707
2023-05-22,26851.27734375,27285.65
2023-05-23,27225.7265625,27316.506
2023-05-24,26334.818359375,27350.896
2023-05-25,26476.20703125,27344.297
2023-05-26,26719.291015625,27296.383
2023-05-27,26868.353515625,27231.035
2023-05-28,28085.646484375,27173.121
2023-05-29,27745.884765625,27201.945
2023-05-30,27702.349609375,27310.05
2023-05-31,27219.658203125,27469.713
2023-06-01,26819.97265625,27621.842
2023-06-02,27249.58984375,27712.818
2023-06-03,27075.12890625,27752.748
2023-06-04,27119.06640625,27743.94
2023-06-05,25760.09765625,27701.2
2023-06-06,27238.783203125,27564.5
2023-06-07,26345.998046875,27420.428
2023-06-08,26508.216796875,27262.08
2023-06-09,26480.375,27109.07
2023-06-10,25851.240234375,26974.62
2023-06-11,25940.16796875,26833.105
2023-06-12,25902.5,26688.87
2023-06-13,25918.728515625,26549.887
2023-06-14,25124.67578125,26427.16
2023-06-15,25576.39453125,26285.555
2023-06-16,26327.462890625,26147.838
2023-06-17,26510.67578125,26070.383
2023-06-18,26336.212890625,26078.11
2023-06-19,26851.029296875,26154.05
2023-06-20,28327.48828125,26301.367
2023-06-21,30027.296875,26579.898
2023-06-22,29912.28125,27067.361
2023-06-23,30695.46875,27718.504
2023-06-24,30548.6953125,28489.244
2023-06-25,30480.26171875,29280.898
2023-06-26,30271.130859375,29997.365
2023-06-27,30688.1640625,30560.053
2023-06-28,30086.24609375,30961.848
2023-06-29,30445.3515625,31173.953
2023-06-30,30477.251953125,31235.94
2023-07-01,30590.078125,31192.992
2023-07-02,30620.76953125,31094.65
2023-07-03,31156.439453125,30979.557
2023-07-04,30777.58203125,30904.7
2023-07-05,30514.166015625,30865.115
2023-07-06,29909.337890625,30838.934
2023-07-07,30342.265625,30780.938
2023-07-08,30292.541015625,30710.266
2023-07-09,30171.234375,30638.406
2023-07-10,30414.470703125,30568.762
2023-07-11,30620.951171875,30521.828
2023-07-12,30391.646484375,30516.28
2023-07-13,31476.048828125,30538.15
2023-07-14,30334.068359375,30639.715
2023-07-15,30295.806640625,30749.97
2023-07-16,30249.1328125,30832.479
2023-07-17,30145.888671875,30870.6
2023-07-18,29856.5625,30859.146
