Date,Actual Price,Predicted Price
2023-01-01,16625.080078125,16445.865
2023-01-02,16688.470703125,16417.404
2023-01-03,16679.857421875,16394.936
2023-01-04,16863.23828125,16381.099
2023-01-05,16836.736328125,16384.832
2023-01-06,16951.96875,16404.676
2023-01-07,16955.078125,16441.42
2023-01-08,17091.14453125,16490.275
2023-01-09,17196.5546875,16551.146
2023-01-10,17446.29296875,16623.785
2023-01-11,17934.896484375,16714.512
2023-01-12,18869.587890625,16842.01
2023-01-13,19909.57421875,17046.746
2023-01-14,20976.298828125,17371.873
2023-01-15,20880.798828125,17849.012
2023-01-16,21169.6328125,18431.576
2023-01-17,21161.51953125,19064.56
2023-01-18,20688.78125,19682.426
2023-01-19,21086.79296875,20205.61
2023-01-20,22676.552734375,20616.518
2023-01-21,22777.625,20994.178
2023-01-22,22720.416015625,21362.668
2023-01-23,22934.431640625,21711.793
2023-01-24,22636.46875,22034.607
2023-01-25,23117.859375,22300.537
2023-01-26,23032.77734375,22521.121
2023-01-27,23078.728515625,22693.625
2023-01-28,23031.08984375,22820.459
2023-01-29,23774.56640625,22902.723
2023-01-30,22840.138671875,22985.523
2023-01-31,23139.283203125,23031.352
2023-02-01,23723.76953125,23047.564
2023-02-02,23471.87109375,23073.008
2023-02-03,23449.322265625,23105.684
2023-02-04,23331.84765625,23140.62
2023-02-05,22955.666015625,23167.084
2023-02-06,22760.109375,23161.121
2023-02-07,23264.291015625,23110.34
2023-02-08,22939.3984375,23048.994
2023-02-09,21819.0390625,22978.371
2023-02-10,21651.18359375,22845.74
2023-02-11,21870.875,22642.576
2023-02-12,21788.203125,22402.467
2023-02-13,21808.1015625,22154.42
2023-02-14,22220.8046875,21925.639
2023-02-15,24307.841796875,21756.178
2023-02-16,23623.474609375,21767.74
2023-02-17,24565.6015625,21933.71
2023-02-18,24641.27734375,22253.924
2023-02-19,24327.642578125,22682.62
2023-02-20,24829.1484375,23139.129
2023-02-21,24436.353515625,23588.922
2023-02-22,24188.84375,23973.984
2023-02-23,23947.4921875,24251.95
2023-02-24,23198.126953125,24401.578
2023-02-25,23175.375,24393.95
2023-02-26,23561.212890625,24251.701
2023-02-27,23522.87109375,24040.549
2023-02-28,23147.353515625,23809.453
2023-03-01,23646.55078125,23573.906
2023-03-02,23475.466796875,23379.846
2023-03-03,22362.6796875,23236.682
2023-03-04,22353.349609375,23085.555
2023-03-05,22435.513671875,22913.04
2023-03-06,22429.7578125,22731.275
2023-03-07,22219.76953125,22556.146
2023-03-08,21718.080078125,22390.76
2023-03-09,20363.021484375,22216.85
2023-03-10,20187.244140625,21967.754
2023-03-11,20632.41015625,21637.973
2023-03-12,22163.94921875,21282.127
2023-03-13,24197.533203125,21024.117
2023-03-14,24746.07421875,21011.814
2023-03-15,24375.9609375,21284.145
2023-03-16,25052.7890625,21764.617
2023-03-17,27423.9296875,22390.543
2023-03-18,26965.87890625,23202.986
2023-03-19,28038.67578125,24109.354
2023-03-20,27767.236328125,25065.4
2023-03-21,28175.81640625,25973.96
2023-03-22,27307.4375,26780.588
2023-03-23,28333.97265625,27390.5
2023-03-24,27493.28515625,27835.893
2023-03-25,27494.70703125,28089.959
2023-03-26,27994.330078125,28171.568
2023-03-27,27139.888671875,28148.744
2023-03-28,27268.130859375,28021.828
2023-03-29,28348.44140625,27828.812
2023-03-30,28033.5625,27668.928
2023-03-31,28478.484375,27562.258
2023-04-01,28411.03515625,27536.57
2023-04-02,28199.30859375,27581.582
2023-04-03,27790.220703125,27663.354
2023-04-04,28168.08984375,27732.97
2023-04-05,28177.984375,27792.164
2023-04-06,28044.140625,27840.53
2023-04-07,27925.859375,27870.348
2023-04-08,27947.794921875,27874.783
2023-04-09,28333.05078125,27858.037
2023-04-10,29652.98046875,27849.209
2023-04-11,30235.05859375,27933.15
2023-04-12,30139.052734375,28150.227
2023-04-13,30399.06640625,28469.68
2023-04-14,30485.69921875,28854.793
2023-04-15,30318.49609375,29259.521
2023-04-16,30315.35546875,29628.535
2023-04-17,29445.044921875,29927.172
2023-04-18,30397.552734375,30089.314
2023-04-19,28822.6796875,30167.752
2023-04-20,28245.98828125,30102.66
2023-04-21,27276.91015625,29876.87
2023-04-22,27817.5,29477.234
2023-04-23,27591.384765625,28991.527
2023-04-24,27525.33984375,28484.86
2023-04-25,28307.59765625,28011.63
2023-04-26,28422.701171875,27655.42
2023-04-27,29473.787109375,27448.324
2023-04-28,29340.26171875,27441.934
2023-04-29,29248.48828125,27605.06
2023-04-30,29268.806640625,27875.42
2023-05-01,28091.568359375,28191.768
2023-05-02,28680.537109375,28434.727
2023-05-03,29006.30859375,28596.58
2023-05-04,28847.7109375,28700.705
2023-05-05,29534.384765625,28753.934
2023-05-06,28904.623046875,28807.295
2023-05-07,28454.978515625,28840.219
2023-05-08,27694.2734375,28822.822
2023-05-09,27658.775390625,28712.41
2023-05-10,27621.755859375,28517.988
2023-05-11,27000.7890625,28269.703
2023-05-12,26804.990234375,27969.69
2023-05-13,26784.078125,27636.635
2023-05-14,26930.638671875,27302.072
2023-05-15,27192.693359375,27004.889
2023-05-16,27036.650390625,26782.727
2023-05-17,27398.802734375,26637.338
2023-05-18,26832.208984375,26581.441
2023-05-19,26890.12890625,26571.756
2023-05-20,27129.5859375,26586.19
2023-05-21,26753.826171875,26623.441
2023-05-22,26851.27734375,26654.988
2023-05-23,27225.7265625,26675.566
2023-05-24,26334.818359375,26705.344
2023-05-25,26476.20703125,26698.494
2023-05-26,26719.291015625,26654.896
